id,res_model
test_new_api_compute_inverse,test_new_api.compute.inverse
test_new_api_compute_member,test_new_api.compute.member
test_new_api_compute_onchange,test_new_api.compute.onchange
test_new_api_compute_onchange_line,test_new_api.compute.onchange.line
test_new_api_compute_readonly,test_new_api.compute.readonly
test_new_api_compute_readwrite,test_new_api.compute.readwrite
test_new_api_compute_unassigned,test_new_api.compute.unassigned
test_new_api_compute_editable,test_new_api.compute_editable
test_new_api_compute_editable_line,test_new_api.compute_editable.line
test_new_api_country,test_new_api.country
test_new_api_creativework_book,test_new_api.creativework.book
test_new_api_creativework_edition,test_new_api.creativework.edition
test_new_api_creativework_movie,test_new_api.creativework.movie
test_new_api_discussion,test_new_api.discussion
test_new_api_display,test_new_api.display
test_new_api_emailmessage,test_new_api.emailmessage
test_new_api_field_with_caps,test_new_api.field_with_caps
test_new_api_foo,test_new_api.foo
test_new_api_inverse_m2o_ref,test_new_api.inverse_m2o_ref
test_new_api_message,test_new_api.message
test_new_api_mixed,test_new_api.mixed
test_new_api_mixin,test_new_api.mixin
test_new_api_model_a,test_new_api.model_a
test_new_api_model_active_field,test_new_api.model_active_field
test_new_api_model_b,test_new_api.model_b
test_new_api_model_binary,test_new_api.model_binary
test_new_api_model_child,test_new_api.model_child
test_new_api_model_child_m2o,test_new_api.model_child_m2o
test_new_api_model_child_nocheck,test_new_api.model_child_nocheck
test_new_api_model_image,test_new_api.model_image
test_new_api_model_many2one_reference,test_new_api.model_many2one_reference
test_new_api_model_parent,test_new_api.model_parent
test_new_api_model_parent_m2o,test_new_api.model_parent_m2o
test_new_api_model_private_address_onchange,test_new_api.model_private_address_onchange
test_new_api_model_selection_base,test_new_api.model_selection_base
test_new_api_model_selection_non_stored,test_new_api.model_selection_non_stored
test_new_api_model_selection_required,test_new_api.model_selection_required
test_new_api_model_selection_required_for_write_override,test_new_api.model_selection_required_for_write_override
test_new_api_model_shared_cache_compute_line,test_new_api.model_shared_cache_compute_line
test_new_api_model_shared_cache_compute_parent,test_new_api.model_shared_cache_compute_parent
test_new_api_monetary_base,test_new_api.monetary_base
test_new_api_monetary_custom,test_new_api.monetary_custom
test_new_api_monetary_inherits,test_new_api.monetary_inherits
